代號	名稱	成交量	開盤價	最高	最低	收盤價	漲跌 	本益比	連續漲跌	連續漲跌(%)
*** 01	水泥工業 https://www.twse.com.tw/exchangeReport/MI_INDEX?response=html&date=20220805&type=01
1101	台泥	11425	39.10	39.15	38.80	38.85	+0.10	13.50	連3跌→漲	+0.26%
1101B	台泥乙特	2	50.1	50.2	50.1	50.2	0.0	-	連4平	0.00%
1102	亞泥	4823	41.15	41.20	40.70	40.95	+0.25	10.02	跌→漲	+0.61%
1103	嘉泥	380	17.45	17.65	17.45	17.55	+0.25	15.87	連2漲	+1.68%
1104	環泥	290	21.70	21.70	21.55	21.60	-0.05	10.16	連4跌	-2.26%
1108	幸福	113	10.75	10.80	10.65	10.75	+0.10	16.38	連2漲	+1.90%
1109	信大	204	18.15	18.25	18.10	18.15	0.00	9.31	跌→平	0.00%
1110	東泥	59	17.95	18.10	17.95	17.95	+0.05	66.30	跌→漲	+0.28%
*** 02	食品工業 https://www.twse.com.tw/exchangeReport/MI_INDEX?response=html&date=20220805&type=02
1201	味全	648	19.75	19.85	19.70	19.75	0.00	19.17	跌→平	0.00%
1203	味王	5	33.20	33.50	33.20	33.45	+0.25	17.20	連2跌→漲	+0.75%
1210	大成	480	47.30	47.55	47.20	47.35	+0.15	23.25	連2漲	+0.42%
1213	大飲	78	7.32	7.90	7.32	7.73	+0.35	-	連2跌→漲	+4.74%
1215	卜蜂	174	77.5	78.5	77.5	78.4	+0.9	16.01	連2跌→漲	+1.16%
1216	統一	4977	66.4	66.4	65.4	65.8	+0.7	19.79	跌→漲	+1.08%
1217	愛之味	2494	9.70	9.85	9.70	9.80	+0.13	26.14	連3跌→漲	+1.34%
1218	泰山	401	30.65	31.00	30.30	30.50	0.00	26.07	連6跌→平	0.00%
1219	福壽	1237	20.20	20.65	20.20	20.50	+0.50	22.22	連3跌→漲	+2.50%
1220	台榮	528	15.70	16.05	15.70	16.05	+0.55	18.67	連3跌→漲	+3.55%
1225	福懋油	9	51.0	51.0	50.5	50.5	+0.2	24.07	平→漲	+0.40%
1227	佳格	510	40.95	41.30	40.90	41.15	+0.20	16.78	連5跌→漲	+0.49%
1229	聯華	1421	56.4	57.7	56.2	57.6	+1.2	19.25	連4跌→漲	+2.13%
1231	聯華食	134	74.9	77.0	74.9	76.4	+1.5	17.83	連4跌→漲	+2.00%
1232	大統益	22	153.0	154.5	153.0	154.5	0.0	18.46	連2漲→平	0.00%
1233	天仁	8	34.70	34.70	34.70	34.70	+0.15	70.51	連2漲	+0.73%
1234	黑松	102	33.70	33.70	33.40	33.60	+0.10	16.67	連2平→漲	+0.30%
1235	興泰	28	60.2	61.0	60.0	60.5	+0.5	50.85	平→漲	+0.83%
1236	宏亞	1408	26.00	27.95	26.00	27.00	+1.35	8.33	連3跌→漲	+5.26%
1256	鮮活果汁-KY	24	256.0	260.0	248.5	260.0	+1.5	15.79	連2漲	+1.17%
1702	南僑	124	44.50	44.75	44.45	44.65	+0.70	11.15	連4跌→漲	+1.59%
1737	臺鹽	194	33.70	33.85	33.65	33.75	+0.05	18.93	跌→漲	+0.15%
*** 03	塑膠工業 https://www.twse.com.tw/exchangeReport/MI_INDEX?response=html&date=20220805&type=03
1301	台塑	7417	91.8	91.8	90.9	91.0	+0.1	7.93	跌→漲	+0.11%
1303	南亞	5777	67.9	68.0	67.4	67.6	+0.3	6.78	跌→漲	+0.45%
1304	台聚	3421	21.15	21.45	21.05	21.30	+0.05	5.08	連4跌→漲	+0.24%
1305	華夏	2140	22.65	23.00	22.60	22.85	+0.10	9.06	連3跌→漲	+0.44%
1307	三芳	36	19.50	19.65	19.50	19.60	+0.10	390.00	連2平→漲	+0.51%
1308	亞聚	1039	24.70	25.15	24.70	25.10	+0.65	5.22	連3跌→漲	+2.66%
1309	台達化	785	21.70	22.20	21.65	22.05	+0.20	5.11	連8跌→漲	+0.92%
1310	台苯	289	13.45	13.60	13.40	13.55	+0.15	-	連3跌→漲	+1.12%
1312	國喬	2187	19.20	19.50	19.20	19.40	+0.15	3.93	連3跌→漲	+0.78%
1312A	國喬特	-	-	-	-	-	-	-	-	-
1313	聯成	4577	13.30	13.60	13.20	13.40	-0.15	-	連4跌	-13.27%
1314	中石化	7059	10.05	10.10	9.99	10.05	+0.11	14.41	連3跌→漲	+1.11%
1315	達新	24	67.7	68.3	67.7	67.7	0.0	118.77	漲→平	0.00%
1321	大洋	1805	33.75	37.00	33.75	36.50	+2.85	134.60	連3漲	+11.28%
1323	永裕	94	34.00	34.15	33.95	34.15	+0.25	10.97	連2漲	+0.89%
1324	地球	29	10.60	10.70	10.55	10.65	+0.10	527.50	連2平→漲	+0.95%
1325	恆大	260	23.60	24.55	23.60	24.50	+1.05	15.95	連3跌→漲	+4.48%
1326	台化	2769	69.9	69.9	69.0	69.1	+0.1	12.80	跌→漲	+0.14%
1337	再生-KY	106	6.05	6.13	6.05	6.12	+0.04	-	連2漲	+1.32%
1340	勝悅-KY	63	9.98	10.10	9.91	10.10	+0.12	-	連2漲	+1.51%
1341	富林-KY	3	66.7	66.7	66.5	66.5	+0.5	12.57	跌→漲	+0.76%
4306	炎洲	270	13.95	14.00	13.90	13.95	+0.10	40.74	跌→漲	+0.72%
*** 04	紡織纖維 https://www.twse.com.tw/exchangeReport/MI_INDEX?response=html&date=20220805&type=04
1402	遠東新	8444	29.75	29.85	29.45	29.65	+0.15	16.21	連4跌→漲	+0.51%
1409	新纖	1159	18.10	18.20	18.10	18.15	+0.15	7.17	連3跌→漲	+0.83%
1410	南染	121	33.60	34.30	33.40	33.50	+0.15	28.75	平→漲	+0.45%
1413	宏洲	3854	10.70	11.20	10.50	11.20	+1.00	7.23	連2漲	+20.56%
1414	東和	91	16.40	16.40	16.15	16.30	+0.10	24.18	連2跌→漲	+0.62%
1417	嘉裕	196	10.00	10.25	10.00	10.25	+0.15	1010.00	連2漲	+1.99%
1418	東華	152	15.95	17.40	15.95	16.55	+0.65	-	連3漲	+6.09%
1419	新紡	81	40.60	40.75	40.40	40.70	+0.35	6.67	連3跌→漲	+0.87%
1423	利華	64	18.85	18.85	18.70	18.70	+0.10	16.17	跌→漲	+0.54%
1434	福懋	932	25.80	25.95	25.70	25.95	+0.35	20.32	連3跌→漲	+1.37%
1439	中和	7	19.70	20.35	19.70	20.10	+0.40	14.28	連2漲	+3.08%
1440	南紡	770	17.25	17.60	17.25	17.55	+0.45	11.03	連3跌→漲	+2.63%
1441	大東	58	8.07	8.20	8.07	8.08	0.00	-	漲→平	0.00%
